tip	date	distance	residual
hCoV-19/bat/Yunnan/RmYN08/2020|EPI_ISL_1699448|2020-07-14	2020.532786885246	0.78013237	0.22708587631248234
hu_variant_BANAL-20-116_MZ937002.1	2020.5136612021859	0.5285280299999999	-0.024123159195152954
hu_variant_BANAL-20-247_MZ937004.1	2020.5218579234972	0.52898601	-0.02383459540616839
hCoV-19/bat/Yunnan/RmYN02/2019|EPI_ISL_412977|2019-06-25	2019.4794520547946	0.5316724399999999	3.9708981274211297E-4
MW251308.1_Bat_coronavirus_RacCS203_complete_genome	2020.464480874317	0.56474823	0.013113538070925967
hCoV-19/bat/Yunnan/RpYN06/2020|EPI_ISL_1699446|2020-05-25	2020.396174863388	0.5132198299999999	-0.03700306017062327
hCoV-19/bat/Yunnan/PrC31/2018|EPI_ISL_1098866|2018-08	2018.5808219178082	0.5754281299999999	0.06272636638787188
hu_variant_BANAL-20-103_MZ937001.1	2020.5136612021859	0.49358546	-0.059065729195152905
hu_variant_BANAL-20-236_MZ937003.2	2020.5218579234972	0.49052220999999996	-0.06229839540616844
hu_variant_BANAL-20-52_MZ937000.1	2020.5081967213114	0.49507908	-0.057459165054478234
ref_seq_NC_045512.2	2019.9150684931508	0.51215738	-0.0281216295331298
Bat_coronavirus_RaTG13	2013.558904109589	0.52382644	0.11492157941290715
hCoV-19/bat/Cambodia/RShSTT182/2010|EPI_ISL_852604|2010-12-06	2010.9287671232876	0.52222725	0.16768410621816776
Guangdong_Pangolin_1_2019	2019.0	0.49171849999999995	-0.029647162227964374
MT121216.1_Pangolin_coronavirus_isolate_MP789_complete_genome	2019.2383561643835	0.49207904999999996	-0.03421314281344323
Guangxi_Pangolin_P4L	2017.0	0.51753308	0.03750497325936686
Guangxi_Pangolin_P5E	2017.0	0.51760791	0.03757980325936683
Guangxi_Pangolin_P2V	2018.0	0.51771359	0.017016705515701225
Guangxi_Pangolin_P5L	2017.0	0.5173607899999999	0.03733268325936678
Guangxi_Pangolin_P1E	2017.0	0.5177844199999999	0.03775631325936679
Bat_Rc-o319_LC556375.1	2013.0	0.0	-0.3973529957659778
