tip	date	distance	residual
hCoV-19/bat/Yunnan/RmYN08/2020|EPI_ISL_1699448|2020-07-14	2020.532786885246	1.3922558900000002	0.5384627518614156
Guangdong_Pangolin_1_2019	2019.0	0.78661503	-0.011939859089430738
MT121216.1_Pangolin_coronavirus_isolate_MP789_complete_genome	2019.2383561643835	0.78710847	-0.020036248045663063
hu_variant_BANAL-20-103_MZ937001.1	2020.5136612021859	0.6562654	-0.19683849082424365
hu_variant_BANAL-20-236_MZ937003.2	2020.5218579234972	0.6499171699999999	-0.20348211253038984
hu_variant_BANAL-20-52_MZ937000.1	2020.5081967213114	0.6419949	-0.2109120630201462
ref_seq_NC_045512.2	2019.9150684931508	0.69388858	-0.13764335358806734
Bat_coronavirus_RaTG13	2013.558904109589	0.7120364100000001	0.10956658191148394
hCoV-19/bat/Cambodia/RShSTT182/2010|EPI_ISL_852604|2010-12-06	2010.9287671232876	0.85515404	0.3474685314285444
Guangxi_Pangolin_P1E	2017.0	0.7503235100000001	0.0238441972099952
Guangxi_Pangolin_P4L	2017.0	0.75111917	0.024639857209995064
Guangxi_Pangolin_P5L	2017.0	0.7508532	0.024373887209995115
Guangxi_Pangolin_P5E	2017.0	0.7516509899999999	0.025171677209995025
Guangxi_Pangolin_P2V	2018.0	0.7513860699999999	-0.0111310309397179
hCoV-19/bat/Yunnan/RpYN06/2020|EPI_ISL_1699446|2020-05-25	2020.396174863388	0.72963556	-0.11923438303616352
hCoV-19/bat/Yunnan/PrC31/2018|EPI_ISL_1098866|2018-08	2018.5808219178082	0.7778016699999999	-0.0056469681663908755
MW251308.1_Bat_coronavirus_RacCS203_complete_genome	2020.464480874317	0.9672376600000001	0.11590611941263318
hCoV-19/bat/Yunnan/RmYN02/2019|EPI_ISL_412977|2019-06-25	2019.4794520547946	0.9340121800000001	0.11817889933194103
hu_variant_BANAL-20-116_MZ937002.1	2020.5136612021859	0.93891583	0.08581193917575636
hu_variant_BANAL-20-247_MZ937004.1	2020.5218579234972	0.9391675100000001	0.08576822746961033
Bat_Rc-o319_LC556375.1	2013.0	0.0	-0.5823281601911532
